r,t,y,DiscountedSalvageValue
REGION1,LNDAGRBC1C01,2038,0.0
REGION1,LNDAGRBC1C01,2039,0.0
REGION1,LNDAGRBC1C01,2040,0.0
REGION1,LNDAGRBC1C01,2041,0.0
REGION1,LNDAGRBC1C01,2042,0.0
REGION1,LNDAGRBC1C01,2043,0.0
REGION1,LNDAGRBC1C01,2045,0.0
REGION1,LNDAGRBC1C01,2046,0.0
REGION1,LNDAGRBC1C01,2047,0.0
REGION1,LNDAGRBC1C01,2048,0.0
REGION1,LNDAGRBC1C01,2049,0.0
REGION1,LNDAGRBC1C01,2050,0.5894
REGION1,LNDAGRBC1C02,2039,0.0
REGION1,LNDAGRBC1C02,2040,0.0
REGION1,LNDAGRBC1C02,2041,0.0
REGION1,LNDAGRBC1C02,2042,0.0
REGION1,LNDAGRBC1C02,2043,0.0
REGION1,LNDAGRBC1C02,2046,0.0
REGION1,LNDAGRBC1C02,2047,0.0
REGION1,LNDAGRBC1C02,2048,0.0
REGION1,LNDAGRBC1C02,2049,0.0
REGION1,LNDAGRBC1C02,2050,0.0571
REGION1,LNDAGRBC1C03,2037,0.0001
REGION1,LNDAGRBC1C03,2038,0.0002
REGION1,LNDAGRBC1C03,2039,0.0002
REGION1,LNDAGRBC1C03,2040,0.0001
REGION1,LNDAGRBC1C03,2041,0.0004
REGION1,LNDAGRBC1C03,2042,0.0004
REGION1,LNDAGRBC1C03,2043,0.0003
REGION1,LNDAGRBC1C03,2044,0.0003
REGION1,LNDAGRBC1C03,2045,0.0003
REGION1,LNDAGRBC1C03,2046,0.0003
REGION1,LNDAGRBC1C03,2047,0.0004
REGION1,LNDAGRBC1C03,2048,0.0004
REGION1,LNDAGRBC1C03,2049,0.0004
REGION1,LNDAGRBC1C03,2050,0.0547
REGION1,LNDAGRBC1C04,2037,0.0
REGION1,LNDAGRBC1C04,2038,0.0
REGION1,LNDAGRBC1C04,2039,0.0
REGION1,LNDAGRBC1C04,2040,0.0
REGION1,LNDAGRBC1C04,2041,0.0
REGION1,LNDAGRBC1C04,2042,0.0
REGION1,LNDAGRBC1C04,2043,0.0
REGION1,LNDAGRBC1C04,2044,0.0
REGION1,LNDAGRBC1C04,2045,0.0
REGION1,LNDAGRBC1C04,2046,0.0
REGION1,LNDAGRBC1C04,2047,0.0
REGION1,LNDAGRBC1C04,2048,0.0
REGION1,LNDAGRBC1C04,2049,0.0
REGION1,LNDAGRBC1C04,2050,0.0229
REGION1,LNDAGRBC1C05,2043,0.007
REGION1,LNDAGRBC1C05,2050,1.1721
REGION1,LNDAGRBC1C06,2037,0.0
REGION1,LNDAGRBC1C06,2038,0.0
REGION1,LNDAGRBC1C06,2039,0.0
REGION1,LNDAGRBC1C06,2040,0.0
REGION1,LNDAGRBC1C06,2041,0.0
REGION1,LNDAGRBC1C06,2042,0.0
REGION1,LNDAGRBC1C06,2043,0.0
REGION1,LNDAGRBC1C06,2044,0.0
REGION1,LNDAGRBC1C06,2045,0.0
REGION1,LNDAGRBC1C06,2046,0.0
REGION1,LNDAGRBC1C06,2047,0.0
REGION1,LNDAGRBC1C06,2048,0.0
REGION1,LNDAGRBC1C06,2049,0.0
REGION1,LNDAGRBC1C06,2050,0.0073
REGION1,LNDAGRBC1C07,2037,0.0
REGION1,LNDAGRBC1C07,2038,0.0
REGION1,LNDAGRBC1C07,2039,0.0
REGION1,LNDAGRBC1C07,2040,0.0
REGION1,LNDAGRBC1C07,2041,0.0
REGION1,LNDAGRBC1C07,2042,0.0
REGION1,LNDAGRBC1C07,2043,0.0
REGION1,LNDAGRBC1C07,2044,0.0
REGION1,LNDAGRBC1C07,2045,0.0
REGION1,LNDAGRBC1C07,2046,0.0
REGION1,LNDAGRBC1C07,2047,0.0
REGION1,LNDAGRBC1C07,2048,0.0
REGION1,LNDAGRBC1C07,2049,0.0
REGION1,LNDAGRBC1C07,2050,0.0277
REGION1,LNDALFHRBC1,2037,0.5257
REGION1,LNDALFHRBC1,2038,1.0635
REGION1,LNDALFHRBC1,2039,1.5031
REGION1,LNDALFHRBC1,2040,1.9572
REGION1,LNDALFHRBC1,2041,2.4765
REGION1,LNDALFHRBC1,2042,2.9032
REGION1,LNDALFHRBC1,2043,129.5352
REGION1,LNDALFHRBC1,2044,3.5675
REGION1,LNDALFHRBC1,2045,4.0655
REGION1,LNDALFHRBC1,2046,4.262
REGION1,LNDALFHRBC1,2047,4.5849
