r,t,y,DiscountedTechnologyEmissionsPenalty
REGION1,DEMAGRDSL,2020,45.6117
REGION1,DEMAGRDSL,2021,45.5942
REGION1,DEMAGRDSL,2022,50.2527
REGION1,DEMAGRDSL,2023,63.6902
REGION1,DEMAGRDSL,2024,78.8784
REGION1,DEMAGRDSL,2025,91.9812
REGION1,DEMAGRDSL,2026,104.9275
REGION1,DEMAGRDSL,2027,117.576
REGION1,DEMAGRDSL,2028,129.9649
REGION1,DEMAGRDSL,2029,141.0465
REGION1,DEMAGRDSL,2030,152.1355
REGION1,DEMAGRDSL,2031,149.3595
REGION1,DEMAGRDSL,2032,146.4191
REGION1,DEMAGRDSL,2033,143.3894
REGION1,DEMAGRDSL,2034,140.4566
REGION1,DEMAGRDSL,2035,137.3721
REGION1,DEMAGRDSL,2036,134.2841
REGION1,DEMAGRDSL,2037,131.1888
REGION1,DEMAGRDSL,2038,128.0934
REGION1,DEMAGRDSL,2039,124.9678
REGION1,DEMAGRDSL,2040,121.8713
REGION1,DEMAGRDSL,2041,118.778
REGION1,DEMAGRDSL,2042,115.7029
REGION1,DEMAGRDSL,2043,112.6514
REGION1,DEMAGRDSL,2044,109.6317
REGION1,DEMAGRDSL,2045,106.6407
REGION1,DEMAGRDSL,2046,103.686
REGION1,DEMAGRDSL,2047,100.774
REGION1,DEMAGRDSL,2048,97.9012
REGION1,DEMAGRDSL,2049,95.0735
REGION1,DEMAGRDSL,2050,92.2958
REGION1,DEMCOMBIO,2020,0.3689
REGION1,DEMCOMBIO,2021,0.4977
REGION1,DEMCOMBIO,2022,0.6816
REGION1,DEMCOMBIO,2023,0.9973
REGION1,DEMCOMBIO,2024,1.3938
REGION1,DEMCOMBIO,2025,1.7797
REGION1,DEMCOMBIO,2026,2.243
REGION1,DEMCOMBIO,2027,2.7309
REGION1,DEMCOMBIO,2028,3.1719
REGION1,DEMCOMBIO,2029,3.6857
REGION1,DEMCOMBIO,2030,4.1351
REGION1,DEMCOMBIO,2031,4.2777
REGION1,DEMCOMBIO,2032,4.3327
REGION1,DEMCOMBIO,2033,4.3727
REGION1,DEMCOMBIO,2034,4.3991
REGION1,DEMCOMBIO,2035,4.4131
REGION1,DEMCOMBIO,2036,4.4157
REGION1,DEMCOMBIO,2037,4.3575
REGION1,DEMCOMBIO,2038,4.343
REGION1,DEMCOMBIO,2039,4.274
REGION1,DEMCOMBIO,2040,4.2456
REGION1,DEMCOMBIO,2041,3.8142
REGION1,DEMCOMBIO,2042,3.7596
REGION1,DEMCOMBIO,2043,3.6977
REGION1,DEMCOMBIO,2044,3.6333
REGION1,DEMCOMBIO,2045,3.57
REGION1,DEMCOMBIO,2046,3.5013
REGION1,DEMCOMBIO,2047,3.4341
REGION1,DEMCOMBIO,2048,3.3624
REGION1,DEMCOMBIO,2049,3.2926
REGION1,DEMCOMBIO,2050,3.2191
REGION1,DEMCOMKER,2020,33.1894
REGION1,DEMCOMKER,2021,32.2967
REGION1,DEMCOMKER,2022,34.8093
REGION1,DEMCOMKER,2023,43.7633
REGION1,DEMCOMKER,2024,52.0324
REGION1,DEMCOMKER,2025,59.6253
REGION1,DEMCOMKER,2026,66.7259
REGION1,DEMCOMKER,2027,73.3299
REGION1,DEMCOMKER,2028,79.5409
REGION1,DEMCOMKER,2029,85.264
REGION1,DEMCOMKER,2030,90.3731
REGION1,DEMCOMKER,2031,87.1793
REGION1,DEMCOMKER,2032,84.0847
REGION1,DEMCOMKER,2033,80.9614
REGION1,DEMCOMKER,2034,78.0048
REGION1,DEMCOMKER,2035,75.0891
REGION1,DEMCOMKER,2036,72.2198
REGION1,DEMCOMKER,2037,69.3501
REGION1,DEMCOMKER,2038,66.5899
REGION1,DEMCOMKER,2039,63.8414
REGION1,DEMCOMKER,2040,61.2484
REGION1,DEMCOMKER,2041,60.4437
REGION1,DEMCOMKER,2042,58.3278
REGION1,DEMCOMKER,2043,56.2802
REGION1,DEMCOMKER,2044,54.2916
REGION1,DEMCOMKER,2045,52.3649
REGION1,DEMCOMKER,2046,50.4985
REGION1,DEMCOMKER,2047,48.6911
REGION1,DEMCOMKER,2048,46.9414
REGION1,DEMCOMKER,2049,45.2479
REGION1,DEMCOMKER,2050,43.6119
REGION1,DEMCOMNGS,2020,185.6622
REGION1,DEMCOMNGS,2021,176.9264
REGION1,DEMCOMNGS,2022,187.0901
REGION1,DEMCOMNGS,2023,231.8283
REGION1,DEMCOMNGS,2024,273.4201
REGION1,DEMCOMNGS,2025,312.9886
REGION1,DEMCOMNGS,2026,351.2346
REGION1,DEMCOMNGS,2027,386.1418
REGION1,DEMCOMNGS,2028,415.6988
REGION1,DEMCOMNGS,2029,443.4716
REGION1,DEMCOMNGS,2030,469.682
REGION1,DEMCOMNGS,2031,454.8788
REGION1,DEMCOMNGS,2032,438.0505
REGION1,DEMCOMNGS,2033,420.333
REGION1,DEMCOMNGS,2034,403.0568
REGION1,DEMCOMNGS,2035,386.7136
REGION1,DEMCOMNGS,2036,370.6306
REGION1,DEMCOMNGS,2037,354.7656
REGION1,DEMCOMNGS,2038,339.571
REGION1,DEMCOMNGS,2039,325.0191
REGION1,DEMCOMNGS,2040,311.1146
REGION1,DEMCOMNGS,2041,306.2322
REGION1,DEMCOMNGS,2042,294.5766
REGION1,DEMCOMNGS,2043,283.3366
REGION1,DEMCOMNGS,2044,272.4966
REGION1,DEMCOMNGS,2045,262.0489
REGION1,DEMCOMNGS,2046,251.976
REGION1,DEMCOMNGS,2047,242.2704
REGION1,DEMCOMNGS,2048,232.9157
REGION1,DEMCOMNGS,2049,223.9046
REGION1,DEMCOMNGS,2050,215.2234
REGION1,DEMINDBIO,2020,491.9766
REGION1,DEMINDBIO,2021,470.4522
REGION1,DEMINDBIO,2022,499.1651
REGION1,DEMINDBIO,2023,620.7374
REGION1,DEMINDBIO,2024,731.2461
REGION1,DEMINDBIO,2025,824.462
REGION1,DEMINDBIO,2026,907.9476
REGION1,DEMINDBIO,2027,982.0204
REGION1,DEMINDBIO,2028,1046.5822
REGION1,DEMINDBIO,2029,1099.4438
REGION1,DEMINDBIO,2030,1142.9308
REGION1,DEMINDBIO,2031,1081.7834
REGION1,DEMINDBIO,2032,1022.8979
REGION1,DEMINDBIO,2033,966.3053
